restaurant_name,address,price,smiles,frowns,type1,type2,type3,type4,region,avg_price,simp_type,Districts,DistrictValue,lon,lat
Sinmei Tea,"5/F, CS Tower, 50 Wing Lok Street, Sheung Wan",$51-$100,221,36,International,Meatless Menu,Coffee Shop,Casual Drink,Sheung Wan,75,International,Central and Western,1,114.151796,22.2862994
Sabor Spanish Touch Private Kitchen,"Rm 601, 6/F, Cheung's Building, 1-3 Wing Lok Street, Sheung Wan",$201-$400,106,3,Spanish,Private Kitchen,,,Sheung Wan,150,Western,Central and Western,1,114.1538818,22.2856373
Green Orange,"2/F, CS Tower, 50 Wing Lok Street, Sheung Wan",$101-$200,98,1,Western,Western Restaurant,,,Sheung Wan,300,Western,Central and Western,1,114.151796,22.2862994
teakha,"Shop B, 18 Tai Ping Shan Road, Sheung Wan",$51-$100,118,7,Western,Bakery,Outdoor,Tea House,Sheung Wan,75,Western,Central and Western,1,114.148457,22.284433
Shui Kee Coffee,"Shop 17, 18167, Sheung Wan",Below $50,167,7,Hong Kong Style,Tea Restaurant,Dai Pai Dong,,Sheung Wan,40,Hong Kong,Central and Western,1,114.121775,22.508509
La Postre,"3/F, CS Tower, 50 Wing Lok Street, Sheung Wan",$101-$200,66,1,Spanish,International,Dessert,,Sheung Wan,300,Western,Central and Western,1,114.151796,22.2862994
Pizzeria JACOMAX,"Shop C, 88 Commercial Building, 38-42 Wing lok Street, Sheung Wan",$101-$200,83,4,Italian,Pizza,Fast Food,,Sheung Wan,300,Western,Central and Western,1,114.1521598,22.2860786
Trattoria Doppio Zero,"G/F, The Pemberton, 22 Bonham Strand, Sheung Wan",$201-$400,85,10,Italian,Wine/Cigar,Western Restaurant,,Sheung Wan,150,Western,Central and Western,1,114.1521281,22.2854991
Cafe Deadend,"G/F, 72 Po Hing Fong, Sheung Wan",$101-$200,69,3,Western,Bakery,Coffee Shop,,Sheung Wan,300,Western,Central and Western,1,114.148156,22.283828
Viet Thai,"G/F, Yue Thai Commercial Building, 128 Connaught Road Central, Sheung Wan",$51-$100,49,3,Vietnamese,Thai,Noodles/Rice Noodles,Dessert,Sheung Wan,75,Asian,Central and Western,1,114.1521069,22.2869771
Lin Heung Kui,"2-3/F, 46-50 Des Voeux Road West, Sheung Wan",$101-$200,168,25,Guangdong,Noodles/Rice Noodles,Congee,Dim Sum,Sheung Wan,300,Hong Kong,Central and Western,1,114.1469515,22.287449
Foxtail & Broomcorn,"G/F, 84 Jervois Street, Sheung Wan",$51-$100,38,2,International,Noodles/Rice Noodles,Stir-Fry,Western Restaurant,Sheung Wan,75,International,Central and Western,1,114.1510695,22.2848894
Kale,"Room 1301, Cheungs Building, 1-3 Wing Lok Street, Sheung Wan",$51-$100,34,0,International,Bakery,Hamburger,Coffee Shop,Sheung Wan,75,International,Central and Western,1,114.1538818,22.2856373
Namaste Kitchen,"G/F, 38 Queens Road West, Sheung Wan",$51-$100,45,1,Indian,Nepalese,BBQ,Curry,Sheung Wan,75,South Asian,Central and Western,1,114.1478884,22.2866645
Basmati,"1/F, San Toi Building, 137-139 Connaught Road, Sheung Wan",Below $50,45,1,Indian,BBQ,Curry,,Sheung Wan,40,South Asian,Central and Western,1,114.1517764,22.2870536
Blue Butcher Bar & Restaurant,"108 Hollywood Road, Sheung Wan",$401-$800,45,11,International,Western Restaurant,Bar,,Sheung Wan,600,International,Central and Western,1,114.1507624,22.2838252
DK Cuppa Tea,"G/F, 19 New Market Street, Sheung Wan",$51-$100,42,2,Western,Coffee Shop,,,Sheung Wan,75,Western,Central and Western,1,114.1499834,22.2872764
Hoi On Cafe,"G/F, 17, Connaught Road, Sheung Wan",Below $50,91,11,Hong Kong Style,Tea Restaurant,,,Sheung Wan,40,Hong Kong,Central and Western,1,114.1409155,22.2888102
LA Creperie,"GF, 69 Jervois Street, Sheung Wan",$101-$200,42,6,French,Dessert,Meatless Menu,Western Restaurant,Sheung Wan,300,Western,Central and Western,1,114.1511045,22.285223
La Parole,"3/F, The Pemberton, 22-26 Bonham Strand, Sheung Wan",$401-$800,90,4,French,Western Restaurant,Social Enterprise Restaurant,,Sheung Wan,600,Western,Central and Western,1,114.1521281,22.2854991
The Popsy Room,"G/F, 30 Upper Lascar Row, Sheung Wan",Above $801,33,0,French,International,Wine/Cigar,Vegetarian,Sheung Wan,1200,Western,Central and Western,1,114.1497106,22.2848258
DANDAN Soul Food From Sichuan,"Shop 101A, Grand Millennium Plaza, 181 Queen's Road Central, Sheung Wan",$51-$100,33,1,Sichuan,Noodles/Rice Noodles,Stir-Fry,Fast Food,Sheung Wan,75,Chinese,Central and Western,1,114.1533557,22.2851111
Cedele,"Shop G08, Infinitus Plaza, 199 Des Voeux Rd, Sheung Wan",$51-$100,34,4,Western,Bakery,Dessert,Meatless Menu,Sheung Wan,75,Western,Central and Western,1,114.1427782,22.287981
Little Break Coffee & Kitchen,"G/F, Xiu Ping Commercial Building, 104 Jervois Street, Sheung Wan",$101-$200,40,1,Western,All Day Breakfast,Coffee Shop,,Sheung Wan,300,Western,Central and Western,1,114.150691,22.2851369
Kwong Lung Hong,"G/F, 119 Wing Lok Street, Sheung Wan",$101-$200,43,0,Guangdong,Shanghai Hairy Crab,Takeaway,,Sheung Wan,300,Hong Kong,Central and Western,1,114.1513031,22.2862472
Upper Modern Bistro,"G/F, 6-14 Upper Station Street, Sheung Wan",$401-$800,34,2,French,Western Restaurant,,,Sheung Wan,600,Western,Central and Western,1,114.1484872,22.2851242
Shou Zen,"7/F, The Pemberton, 22-26 Bonham Strand, Sheung Wan",$201-$400,58,2,Japanese,Social Enterprise Restaurant,,,Sheung Wan,150,Asian,Central and Western,1,114.1521281,22.2854991
Moon Thai,"2/F, Holiday Inn Express Honk Kong Soho, 83 Jervois Road, Sheung Wan",$101-$200,33,0,Thai,Hotel Restaurant,Outdoor,,Sheung Wan,300,Asian,Central and Western,1,114.1521281,22.2854991
Tabibito,"G/F., 20 Po Hing Fong, Sheung Wan",$401-$800,26,0,Japanese,Spanish,Seafood,Skewer,Sheung Wan,600,Asian,Central and Western,1,114.1474484,22.2845459
Pasta PaPa,"Room 201, 2/F Cheungs Building, 1-3 Wing Lok Street, Sheung Wan",$51-$100,31,1,Italian,Upper-floor Cafe,,,Sheung Wan,75,Western,Central and Western,1,114.1538818,22.2856373
Shelter Lounge,"Shop A,G/F.&1/F., Universal Building, 5-13 New Street, Sheung Wan",$201-$400,31,4,Western,Seafood,Western Restaurant,,Sheung Wan,150,Western,Central and Western,1,114.1538818,22.2856373
Oolaa,"G/F, Centre Stage, 108 Hollywood Road (facing Bridges Street), Sheung Wan",$201-$400,52,8,International,Seafood,Pizza,All Day Breakfast,Sheung Wan,150,International,Central and Western,1,114.1499675,22.283601
Bibo,"G/F, 163 Hollywood Road, Sheung Wan",Above $801,21,0,French,Wine/Cigar,Fine Dining,Western Restaurant,Sheung Wan,1200,Western,Central and Western,1,114.1499429,22.2843736
Ma Sa Restaurant,"G/F, 23 Hiller Street, Sheung Wan",Below $50,58,4,Hong Kong Style,Noodles/Rice Noodles,Tea Restaurant,,Sheung Wan,40,Hong Kong,Central and Western,1,114.151407,22.285391
